Source,Number of articles
dailyprotidinerbani_com.txt,9
bard_gov_bd.txt,3
bank_bangladeshinformation_info.txt,1
www_bou_edu_bd.txt,5
amitbiswas4u_blogspot_com.txt,3
www_dshe_gov_bd_webstatsdomain_org.txt,7
www_brif_org.txt,1
corporatenews_com_bd.txt,2824
www_bongodorshon_com.txt,1
bikashazad_wordpress_com.txt,4
zso_pirojpur_gov_bd.txt,2
habluderadda_com.txt,1
www_newsekattor_com.txt,31
www_quran_for_all_com.txt,1
blog_rabimba_com.txt,2
www_technohaat_com.txt,21
www_reb_gov_bd.txt,14
click4taka_blogspot_com.txt,1
dae_kalapara_patuakhali_gov_bd.txt,1
coprolalomaniac_blogspot_in.txt,84
www_khandbahale_com.txt,1
downloadfreeall_net.txt,11
bdallnewspaper_blogspot_com.txt,1
video4downloads_blogspot_com.txt,1
alternative_dictionaries_net.txt,5
drro_sylhet_gov_bd.txt,1
a_trendyname_org.txt,1
serialkiller_wordpress_com.txt,20
www_mymensinghpbs2_org.txt,6
eprothomalo_blogspot_com.txt,29
jagobdnews_org.txt,66
www_chobirdokan_com.txt,25
motivationhq_net.txt,1
gardenparkmedical_secure_ehc_com.txt,1
www_publimetro_com_mx.txt,1
www_nuedu_org.txt,11
d20_robo_factory_net.txt,1
www_localguidesconnect_com.txt,11
chuda_chudirgolpo_blogspot_com.txt,3
bangladesh_360_news_in.txt,11
drikict_net.txt,4
youth_khetlal_joypurhat_gov_bd.txt,2
iabnews_net.txt,6
sushantapaul_net.txt,8
indianmart_co_in.txt,1
olicreative_blogspot_com.txt,1
www_kamranmirhazar_com.txt,6
rabby2013_blogspot_com.txt,1
www_blog_infonil_com.txt,4
es_hunternews_ru.txt,1
newspaperbangladesh_blogspot_co_uk.txt,1
tasauffoundation_org.txt,2
biwta_barisal_gov_bd.txt,2
schools_aglasem_com.txt,1
alladmissionbd_blogspot_com.txt,1
www_deshebideshe_com.txt,2408
www_natunalo_com.txt,12
www_bongblogger_com.txt,63
www_thethirdpole_net.txt,45
akashnill_blogspot_com.txt,77
www_aajkaal_in.txt,3
fireservice_barisal_gov_bd.txt,3
www_banglanatokmovie_com.txt,1
brta_natore_gov_bd.txt,1
bangladeshimodelactressprova_blogspot_com.txt,1
www_protimuhurto_com.txt,16
decodelab_firstaid_andro_io.txt,1
nanimao33_blogspot_com.txt,1
www_sacw_net.txt,4
www_internationalrangers_org.txt,16
www_loklokantor_com.txt,33
www_dhakasnob_com.txt,1
blog_mozilla_org.txt,6
www_rpap_brdb_gov_bd.txt,26
khobor21_com.txt,445
bip_org_bd.txt,9
post_akkelpur_joypurhat_gov_bd.txt,1
www_sherpur_gov_bd.txt,2
www_unnayan_org.txt,45
m_bookzz_org.txt,2
dwa_bogra_gov_bd.txt,2
catestonline_org.txt,5
